# HIKARI AI CHATBOT - 1000 QUESTIONS & ANSWERS DATABASE
# Format: Q: [Question] | A: [Answer]

# === HỆ THỐNG HIKARI ===
Q: Hệ thống Hikari là gì? | A: Hikari là nền tảng học tiếng Nhật trực tuyến toàn diện, hỗ trợ học viên từ N5 đến N1 với các khóa học, bài tập, thi thử và cộng đồng học tập.

Q: Hikari có những tính năng gì? | A: Hikari cung cấp: đăng ký khóa học, học bài trực tuyến, làm bài tập, thi thử JLPT, diễn đàn thảo luận, theo dõi tiến độ, thanh toán học phí và chat với giảng viên.

Q: Ai có thể sử dụng Hikari? | A: Hikari phục vụ 4 nhóm người dùng: Học viên (đăng ký học), Giảng viên (tạo bài giảng), Quản trị viên (quản lý hệ thống), và Điều phối viên (giám sát chất lượng).

Q: Làm sao để đăng ký tài khoản Hikari? | A: Bạn truy cập trang chủ Hikari, click "Đăng ký", điền thông tin cá nhân (họ tên, email, mật khẩu), xác nhận email và hoàn tất đăng ký.

Q: Tôi quên mật khẩu Hikari thì làm sao? | A: Click "Quên mật khẩu" ở trang đăng nhập, nhập email đã đăng ký, kiểm tra email để nhận link reset mật khẩu, sau đó tạo mật khẩu mới.

# === KHÓA HỌC ===
Q: Hikari có những khóa học nào? | A: Hikari có 10 khóa học chính: N5 Cơ bản (2tr), N4 Trung cấp (2.5tr), N3 Cao cấp (3tr), N2 Luyện thi (3.5tr), N1 Chuyên sâu (4tr), Kanji Mastery (1.8tr), Hội thoại Thực tế (2.2tr), Văn hóa Nhật (1.5tr), Tiếng Nhật Thương mại (3.2tr), Luyện nghe N3-N2 (1.9tr).

Q: Khóa N5 Cơ bản học những gì? | A: Khóa N5 bao gồm: Hiragana (46 ký tự), Katakana (46 ký tự), 50 Kanji cơ bản, số đếm 1-100, chào hỏi và giới thiệu bản thân. Thời lượng 120 giờ, học phí 2 triệu đồng.

Q: Khóa N4 Trung cấp có gì? | A: Khóa N4 gồm: 300 Kanji N4, ngữ pháp N4 (80 mẫu), hội thoại du lịch/mua sắm, từ vựng gia đình/công việc. Thời lượng 150 giờ, học phí 2.5 triệu đồng.

Q: Khóa N3 Cao cấp khó không? | A: Khóa N3 nâng cao với ngữ pháp điều kiện, 650 Kanji phức tạp, đọc hiểu văn bản dài. Phù hợp người đã qua N4. Thời lượng 180 giờ, học phí 3 triệu đồng.

Q: Khóa luyện thi N2 có gì đặc biệt? | A: Khóa N2 tập trung: ngữ pháp phức tạp, viết luận, đọc hiểu văn bản học thuật, nghe hiểu hội thoại nâng cao. Bao gồm bài thi thử định kỳ. Thời lượng 200 giờ, học phí 3.5 triệu.

Q: Khóa N1 Chuyên sâu có khó không? | A: Khóa N1 là cấp độ cao nhất với ngữ pháp phức tạp nhất, 1000+ Kanji, văn bản học thuật chuyên sâu. Dành cho người có kinh nghiệm. Thời lượng 240 giờ, học phí 4 triệu.

Q: Khóa Kanji Mastery học như thế nào? | A: Khóa này dạy 1000+ Kanji từ N5-N1, phương pháp ghi nhớ hiệu quả, âm On-Kun, cách viết đúng. Tặng kèm flashcard. Thời lượng 100 giờ, học phí 1.8 triệu.

Q: Khóa Hội thoại Thực tế có gì hay? | A: Khóa này luyện giao tiếp thực tế: hội thoại hàng ngày, công việc, nhà hàng, phỏng vấn xin việc. Video thực tế, tương tác nhiều. Thời lượng 80 giờ, học phí 2.2 triệu.

Q: Khóa Văn hóa Nhật Bản học gì? | A: Tìm hiểu lịch sử Nhật cổ đại, văn hóa truyền thống, anime/manga, xã hội hiện đại. Không yêu cầu tiếng Nhật cao. Thời lượng 60 giờ, học phí 1.5 triệu.

Q: Khóa Tiếng Nhật Thương mại dành cho ai? | A: Dành cho người làm việc với Nhật: Keigo (kính ngữ), email kinh doanh, thuyết trình, đàm phán. Yêu cầu N3-N2. Thời lượng 160 giờ, học phí 3.2 triệu.

# === HỌC PHÍ VÀ THANH TOÁN ===
Q: Học phí Hikari như thế nào? | A: Học phí từ 1.5-4 triệu tùy khóa: N5 (2tr), N4 (2.5tr), N3 (3tr), N2 (3.5tr), N1 (4tr), Kanji (1.8tr), Hội thoại (2.2tr), Văn hóa (1.5tr), Thương mại (3.2tr), Luyện nghe (1.9tr).

Q: Có thể trả góp học phí không? | A: Hiện tại Hikari chưa hỗ trợ trả góp. Bạn cần thanh toán đủ học phí khi đăng ký khóa học. Chúng tôi đang nghiên cứu phương thức trả góp trong tương lai.

Q: Hikari có mã giảm giá không? | A: Có! Hikari có các mã: NEWBIE2024 (giảm 20% N5), SUMMER2024 (giảm 15% N4), JLPTN3SALE (giảm 25% N3), EARLYBIRD (giảm 30% N2), KANJI50 (giảm 40% Kanji).

Q: Thanh toán bằng cách nào? | A: Hikari hỗ trợ thanh toán qua: chuyển khoản ngân hàng, ví điện tử (Momo, ZaloPay), thẻ tín dụng/ghi nợ. Hệ thống xác nhận thanh toán tự động.

Q: Có được hoàn tiền không? | A: Hoàn tiền 100% nếu hủy trong 7 ngày đầu chưa học bài nào. Hoàn 50% nếu hủy trong 30 ngày đầu. Sau 30 ngày không hoàn tiền.

# === JLPT VÀ THI CỬ ===
Q: JLPT là gì? | A: JLPT (Japanese Language Proficiency Test) là kỳ thi năng lực tiếng Nhật quốc tế, có 5 cấp độ từ N5 (cơ bản) đến N1 (cao cấp), tổ chức 2 lần/năm (tháng 7 và 12).

Q: Cấp độ JLPT nào phù hợp với tôi? | A: N5: người mới học (6 tháng), N4: biết cơ bản (1 năm), N3: trung cấp (1.5-2 năm), N2: khá giỏi (2-3 năm), N1: thành thạo (3+ năm). Tùy thuộc thời gian và mục tiêu học.

Q: Thi JLPT N5 cần chuẩn bị gì? | A: N5 cần: 800 từ vựng, 100 Kanji, ngữ pháp cơ bản (80 mẫu), Hiragana/Katakana thành thạo. Thời gian chuẩn bị: 6-12 tháng tùy năng lực.

Q: JLPT N4 khó hơn N5 như thế nào? | A: N4 cần: 1500 từ vựng (+700), 300 Kanji (+200), 200 mẫu ngữ pháp (+120), đọc hiểu văn bản dài hơn, nghe hiểu hội thoại phức tạp hơn.

Q: Thi JLPT N3 cần lưu ý gì? | A: N3 là bước ngoặt quan trọng: 3700 từ vựng, 650 Kanji, 570 mẫu ngữ pháp. Đọc hiểu văn bản dài, nghe tin tức. Cần học nghiêm túc 1.5-2 năm.

Q: JLPT N2 có khó không? | A: N2 khá khó: 6000 từ vựng, 1000 Kanji, 200+ mẫu ngữ pháp mới. Đọc báo, tiểu thuyết, nghe tin tức, phim. Cần 2-3 năm học tập chăm chỉ.

Q: JLPT N1 là cấp độ như thế nào? | A: N1 là cấp cao nhất: 10000+ từ vựng, 2000+ Kanji, ngữ pháp phức tạp. Đọc hiểu văn bản học thuật, báo chí chuyên sâu. Cần 3+ năm và rất nhiều luyện tập.

Q: Hikari có thi thử JLPT không? | A: Có! Hikari tổ chức thi thử JLPT hàng tháng cho tất cả cấp độ. Đề thi chuẩn format JLPT, chấm điểm tự động, phân tích kết quả chi tiết.

Q: Kết quả thi thử có chính xác không? | A: Kết quả thi thử Hikari có độ chính xác 85-90% so với thi thật. Giúp đánh giá năng lực, xác định điểm yếu cần cải thiện.

Q: Lịch thi JLPT 2024 như thế nào? | A: JLPT 2024: Kỳ 1 (tháng 7/2024) và Kỳ 2 (tháng 12/2024). Đăng ký trước 3-4 tháng. Hikari sẽ thông báo lịch chi tiết.

# === HIRAGANA VÀ KATAKANA ===
Q: Hiragana là gì? | A: Hiragana là bảng chữ cái tiếng Nhật gồm 46 ký tự cơ bản, dùng viết từ thuần Nhật, trợ từ ngữ pháp, okurigana. Là nền tảng đầu tiên cần học.

Q: Katakana dùng để làm gì? | A: Katakana dùng viết từ vựng ngoại lai (từ tiếng Anh, Pháp...), tên nước ngoài, onomatopoeia (từ tượng thanh), nhấn mạnh từ ngữ.

Q: Học Hiragana bao lâu? | A: Người bình thường học Hiragana trong 2-4 tuần nếu luyện tập đều đặn mỗi ngày 30-60 phút. Quan trọng là viết nhiều lần để ghi nhớ.

Q: Cách nhớ Hiragana hiệu quả? | A: Học theo thứ tự a-ka-sa-ta-na-ha-ma-ya-ra-wa, viết nhiều lần, dùng flashcard, học qua từ vựng thực tế, luyện đọc văn bản đơn giản.

Q: Katakana có khó hơn Hiragana không? | A: Katakana có hình dáng góc cạnh hơn nên một số người thấy khó nhớ hơn. Nhưng cách học tương tự Hiragana, cần luyện viết và đọc nhiều.

Q: Dakuten và Handakuten là gì? | A: Dakuten (゛) và Handakuten (゜) là dấu phụ thêm vào Hiragana/Katakana để tạo âm mới. VD: か→が, は→ば, は→ぱ. Tổng cộng có thêm 25 âm.

Q: Có cần học thuộc lòng cả 2 bảng chữ không? | A: Có! Hiragana và Katakana là nền tảng bắt buộc. Không thể học tiếng Nhật mà không biết 2 bảng chữ này. Cần thuộc lòng 100%.

# === KANJI ===
Q: Kanji là gì? | A: Kanji là chữ Hán được Nhật Bản tiếp nhận và cải biến. Mỗi chữ Kanji có nghĩa riêng, có thể có nhiều cách đọc (âm On và âm Kun).

Q: Có bao nhiêu chữ Kanji? | A: Có hàng chục nghìn chữ Kanji, nhưng người Nhật thường dùng khoảng 3000-4000 chữ. JLPT yêu cầu: N5 (100), N4 (300), N3 (650), N2 (1000), N1 (2000+).

Q: Âm On và âm Kun khác nhau như thế nào? | A: Âm On là cách đọc gốc Trung Hoa (thường dùng trong từ ghép), âm Kun là cách đọc thuần Nhật (thường dùng khi đứng một mình). VD: 水 - On: すい, Kun: みず.

Q: Cách học Kanji hiệu quả nhất? | A: Học Kanji qua: bộ thủ (radical), câu chuyện ghi nhớ, flashcard, viết nhiều lần, học trong ngữ cảnh (từ vựng, câu văn), luyện tập đều đặn.

Q: Bộ thủ Kanji là gì? | A: Bộ thủ là thành phần cơ bản tạo nên Kanji, cho biết nghĩa gần đúng. VD: 氵(nước): 海, 川, 池; 木(cây): 森, 林, 桜. Có 214 bộ thủ cơ bản.

Q: Kanji N5 gồm những chữ nào? | A: Kanji N5 có 100 chữ cơ bản nhất: số (一二三), thời gian (日月年), người (人男女), nước (国中大小), màu sắc (白黒赤), v.v.

Q: Học Kanji N4 cần lưu ý gì? | A: Kanji N4 có 300 chữ, phức tạp hơn N5. Cần học âm On-Kun, từ ghép, cách viết đúng nét. Luyện đọc văn bản có Kanji thường xuyên.

Q: Kanji N3 khó như thế nào? | A: Kanji N3 có 650 chữ, nhiều chữ có 3-4 cách đọc khác nhau. Xuất hiện trong văn bản dài, tin tức. Cần học nghiêm túc và kiên trì.

Q: Có nên học Kanji trước khi học từ vựng? | A: Nên học song song. Học Kanji riêng lẻ dễ quên, học qua từ vựng và câu văn sẽ nhớ lâu hơn và hiểu cách sử dụng thực tế.

Q: Ứng dụng nào tốt để học Kanji? | A: Anki (flashcard), Wanikani (hệ thống SRS), Kanji Study, Obenkyo. Hikari cũng có hệ thống luyện Kanji tích hợp với flashcard miễn phí.

# === NGỮ PHÁP ===
Q: Ngữ pháp tiếng Nhật có khó không? | A: Ngữ pháp tiếng Nhật khác tiếng Việt: trật tự SOV (chủ-tân-vị), động từ chia theo thời, thể, mức độ lịch sự. Cần thời gian làm quen nhưng có quy tắc rõ ràng.

Q: Thể lịch sự trong tiếng Nhật là gì? | A: Tiếng Nhật có nhiều mức độ lịch sự: thường (だ/である), lịch sự (です/ます), kính ngữ (尊敬語), khiêm nhường ngữ (謙譲語), trang trọng (丁寧語).

Q: Động từ tiếng Nhật chia như thế nào? | A: Động từ chia theo: thời gian (hiện tại/quá khứ), thể (khẳng định/phủ định), mức độ lịch sự (thường/lịch sự), dạng (て形, た形, ない形, v.v.).

Q: て形 dùng để làm gì? | A: て形 có nhiều chức năng: nối câu (食べて寝る), thể tiếp diễn (食べている), xin phép (食べてもいい), cấm đoán (食べてはいけない), v.v.

Q: Trợ từ は và が khác nhau như thế nào? | A: は đánh dấu chủ đề câu (topic), が đánh dấu chủ ngữ (subject). VD: 私は学生です (Tôi là học sinh - nói về tôi), 誰が来ましたか (Ai đã đến? - hỏi chủ ngữ).

Q: に và で khác nhau ra sao? | A: に chỉ thời gian cụ thể, mục đích, hướng, vị trí tồn tại. で chỉ địa điểm hành động, phương tiện, nguyên nhân. VD: 学校に行く (đi đến trường), 学校で勉強する (học ở trường).

Q: を dùng khi nào? | A: を đánh dấu tân ngữ trực tiếp (direct object). VD: りんごを食べる (ăn táo), 本を読む (đọc sách), 日本語を勉強する (học tiếng Nhật).

Q: Ngữ pháp N5 có những mẫu nào? | A: N5 có ~80 mẫu cơ bản: です/ます, た形, ない形, て形, たい形, ている, てもいい, てはいけない, つもり, でしょう, v.v.

Q: Cách học ngữ pháp hiệu quả? | A: Học ngữ pháp qua: ví dụ cụ thể, luyện tập nhiều, đọc văn bản thực tế, nghe hội thoại, làm bài tập đa dạng, không học thuộc lòng mà hiểu cách dùng.

Q: Sách ngữ pháp nào hay? | A: Minna no Nihongo (cơ bản), Genki (sinh động), Tobira (nâng cao), Shin Kanzen Master (luyện thi), Try! (theo cấp độ JLPT).

# === TỪ VỰNG ===
Q: Học từ vựng tiếng Nhật như thế nào? | A: Học từ vựng qua: flashcard (Anki), đọc sách/manga, xem anime có phụ đề, nghe nhạc Nhật, học theo chủ đề, luyện tập đều đặn mỗi ngày.

Q: Một ngày nên học bao nhiêu từ mới? | A: Người mới bắt đầu: 10-15 từ/ngày. Trình độ trung cấp: 20-30 từ/ngày. Quan trọng là ôn tập từ cũ thường xuyên hơn là học quá nhiều từ mới.

Q: Từ vựng N5 có bao nhiêu từ? | A: N5 cần khoảng 800 từ vựng cơ bản: gia đình, số đếm, thời gian, màu sắc, đồ ăn, quần áo, giao thông, trường học, v.v.

Q: N4 cần học thêm bao nhiêu từ? | A: N4 cần tổng cộng 1500 từ (thêm 700 từ so với N5): cảm xúc, sức khỏe, thiên nhiên, xã hội, công việc, du lịch, v.v.

Q: Cách nhớ từ vựng lâu? | A: Học từ trong ngữ cảnh (câu, đoạn văn), tạo câu ví dụ, liên kết với hình ảnh, sử dụng trong hội thoại, ôn tập theo hệ thống SRS (Spaced Repetition).

Q: Có nên học từ vựng qua anime không? | A: Có thể học nhưng cần chọn lọc. Anime có từ lóng, cách nói không trang trọng. Nên kết hợp với tài liệu học thuật để có từ vựng cân bằng.

Q: Từ đồng âm trong tiếng Nhật nhiều không? | A: Rất nhiều! VD: かみ có thể là 紙 (giấy), 髪 (tóc), 神 (thần). Cần học trong ngữ cảnh và nhớ Kanji để phân biệt.

Q: Từ vựng Katakana có quan trọng không? | A: Rất quan trọng! Từ Katakana chiếm 10-15% từ vựng thường dùng: コンピューター (máy tính), レストラン (nhà hàng), アルバイト (làm thêm), v.v.

# === KỸ NĂNG NGHE ===
Q: Cách luyện nghe tiếng Nhật hiệu quả? | A: Nghe từ dễ đến khó: bài học cơ bản → hội thoại đơn giản → tin tức → phim/anime. Nghe nhiều lần, có phụ đề rồi tắt phụ đề, shadowing (nhắc lại).

Q: Tại sao nghe tiếng Nhật khó? | A: Tiếng Nhật nói nhanh, có nhiều âm tương tự, ngữ điệu khác tiếng Việt, từ viết tắt, cách nói thân mật khác sách vở. Cần luyện tập nhiều để quen.

Q: Nên bắt đầu nghe gì? | A: Bắt đầu với: bài nghe trong sách giáo khoa, NHK News Web Easy, podcast cho người học, YouTube kênh dạy tiếng Nhật, hội thoại chậm có phụ đề.

Q: Shadowing là gì? | A: Shadowing là kỹ thuật nghe và nhắc lại đồng thời với người nói. Giúp cải thiện phát âm, nhịp điệu, khả năng nghe hiểu và phản xạ ngôn ngữ.

Q: Nghe tin tức tiếng Nhật có khó không? | A: Khá khó vì từ vựng chuyên ngành, tốc độ nhanh, ngữ pháp phức tạp. Nên bắt đầu với NHK News Web Easy (tin tức đơn giản hóa) rồi chuyển sang tin tức thường.

